participant,similarity,session1_nonrepeatHF,session1_nonrepeatLF,session1_repeatHF,session1_repeatLF,session2_nonrepeatHF,session2_nonrepeatLF,session2_repeatHF,session2_repeatLF
T305,same,562.625,669.9545455,583.0833333,641.25,615.4545455,675.2916667,603.5652174,633.125
T306,same,576.7916667,785.1428571,611.9166667,649.4090909,554.6666667,690.4285714,578.4166667,591.1666667
T318,same,554.5833333,715.5238095,550.5652174,610.2083333,543.7916667,691.2608696,567.7083333,582.8695652
T37,same,593.3333333,747.6875,582.5217391,674.2916667,483.3478261,573.952381,491.826087,530.7826087
T38,same,517.8695652,610.3157895,497.9565217,566.3636364,535.7916667,589.6521739,507.7727273,568.8695652
T39,same,520.1304348,598.1578947,467.0833333,535.8181818,451.2608696,579,442.7083333,528.0869565
T41,same,564.3333333,743.7619048,536.125,696.8333333,521.0416667,688.3181818,501.5416667,591.2916667
T47,same,492.6818182,579.8421053,482.875,571.6315789,479.1666667,579.8,475.4166667,547.4
T48,same,373.2083333,472.4,396.4583333,467.6111111,416.2608696,602.75,355.0454545,459.3684211
T5,same,597.3478261,706,568.25,626.3157895,633.625,671.65,624.2173913,677.952381
T506,same,435.2083333,582.4210526,441.9166667,571.1428571,403.4583333,550.125,427.5833333,547.3809524
T52,same,580.6086957,669.75,645.5217391,671.0416667,592.5833333,601.2857143,555.6086957,609.6363636
T56,same,574.0833333,657.8,529.4782609,621.875,660.6666667,845.0833333,634.75,764.7272727
T59,same,590.9565217,672.4347826,564.4166667,620.3913043,549.0833333,668.2777778,554.6818182,576.4166667
T65,same,539.875,724.9,556.75,642.7727273,567.6666667,688.7142857,520.2916667,595.6086957
T73,same,581.4583333,666,552.6666667,629.9565217,531.25,579.5263158,501.0833333,563.375
T76,same,575.7916667,610.4736842,528.2727273,613.1818182,602.25,696,570.3636364,640.8095238
T80,same,424.826087,484.3333333,425.125,495.1764706,400.3333333,420.1428571,397.25,427
T81,same,481.3043478,673.5882353,471.375,577.9,518.3636364,655.8,484.1666667,575.5
T84,same,535.9166667,617,509.8181818,602.2941176,527.1666667,646.6666667,503.5833333,532.6190476
T85,same,510.1666667,583.9230769,507.2916667,540,471.0416667,577.6,435.9565217,483.952381
T91,same,569.375,700.6315789,579.5,646.8333333,507.9130435,663.5909091,522.0833333,579.7272727
T94,same,428.4166667,504.8823529,436.25,467.8,439.875,559.9444444,471.2916667,495.3181818
T97,same,592.75,585.9444444,597.4782609,607.2272727,562.125,598.2857143,506.3043478,577.0833333
