"exclusion","num_people","num_trials","order","row_number"
"participant_outlier_fixed",160,14278,3,186
"final",160,14278,4,186
"stimuli_outlier_data",160,14720,1,187
"stimuli_outlier_fixed",160,14720,2,187
"participant_outlier_fixed",160,14720,3,187
"final",160,14720,4,187
"participant_external",155,14260,1,188
"stimuli_outlier_data",155,14260,2,188
"participant_outlier_fixed",155,14260,3,188
"final",155,14260,4,188
"participant_outlier_data",157,14444,1,189
"stimuli_outlier_data",157,14444,2,189
"participant_outlier_fixed",157,14444,3,189
"final",157,14444,4,189
"trial_external",160,14278,1,190
"stimuli_outlier_data",160,14278,2,190
"participant_outlier_fixed",160,14278,3,190
"final",160,14278,4,190
"trial_outlier_fixed",160,14652,1,191
"stimuli_outlier_data",160,14652,2,191
"participant_outlier_fixed",159,14573,3,191
"final",159,14573,4,191
"trial_outlier_data",160,14333,1,192
"stimuli_outlier_data",160,14333,2,192
"participant_outlier_fixed",155,13967,3,192
"final",155,13967,4,192
"stimuli_external",160,14278,1,193
"stimuli_outlier_data",160,14278,2,193
"participant_outlier_fixed",160,14278,3,193
"final",160,14278,4,193
"stimuli_outlier_fixed",160,14720,1,194
"stimuli_outlier_data",160,14720,2,194
"participant_outlier_fixed",160,14720,3,194
"final",160,14720,4,194
"participant_outlier_fixed",160,14720,1,195
"participant_external",155,14260,2,195
"participant_outlier_data",152,13984,3,195
"final",152,13984,4,195
"trial_external",160,14278,1,196
"participant_external",155,13826,2,196
"participant_outlier_data",153,13646,3,196
"final",153,13646,4,196
"trial_outlier_fixed",160,14652,1,197
"participant_external",155,14197,2,197
"participant_outlier_data",152,13924,3,197
"final",152,13924,4,197
"trial_outlier_data",160,14333,1,198
"participant_external",155,13881,2,198
"participant_outlier_data",152,13635,3,198
"final",152,13635,4,198
"stimuli_external",160,14278,1,199
"participant_external",155,13829,2,199
"participant_outlier_data",151,13479,3,199
"final",151,13479,4,199
"stimuli_outlier_fixed",160,14720,1,200
"participant_external",155,14260,2,200
"participant_outlier_data",152,13984,3,200
"final",152,13984,4,200
"stimuli_outlier_data",160,14720,1,201
"participant_external",155,14260,2,201
"participant_outlier_data",152,13984,3,201
"final",152,13984,4,201
"participant_external",155,14260,1,202
"participant_outlier_fixed",155,14260,2,202
"participant_outlier_data",152,13984,3,202
"final",152,13984,4,202
"trial_external",160,14278,1,203
"participant_outlier_fixed",160,14278,2,203
"participant_outlier_data",157,14013,3,203
"final",157,14013,4,203
"trial_outlier_fixed",160,14652,1,204
"participant_outlier_fixed",159,14573,2,204
"participant_outlier_data",156,14300,3,204
"final",156,14300,4,204
"trial_outlier_data",160,14333,1,205
"participant_outlier_fixed",155,13967,2,205
"participant_outlier_data",153,13789,3,205
"final",153,13789,4,205
"stimuli_external",160,14278,1,206
"participant_outlier_fixed",160,14278,2,206
"participant_outlier_data",157,14006,3,206
"final",157,14006,4,206
"stimuli_outlier_fixed",160,14720,1,207
"participant_outlier_fixed",160,14720,2,207
"participant_outlier_data",157,14444,3,207
"final",157,14444,4,207
"stimuli_outlier_data",160,14720,1,208
"participant_outlier_fixed",160,14720,2,208
"participant_outlier_data",157,14444,3,208
"final",157,14444,4,208
"participant_external",155,14260,1,209
"trial_external",155,13832,2,209
"participant_outlier_data",152,13567,3,209
"final",152,13567,4,209
"participant_outlier_fixed",160,14720,1,210
"trial_external",160,14278,2,210
"participant_outlier_data",157,14012,3,210
"final",157,14012,4,210
"trial_outlier_fixed",160,14652,1,211
"trial_external",160,14212,2,211
"participant_outlier_data",157,13949,3,211
"final",157,13949,4,211
"trial_outlier_data",160,14333,1,212
"trial_external",160,13903,2,212
"participant_outlier_data",156,13582,3,212
"final",156,13582,4,212
"stimuli_external",160,14278,1,213
"trial_external",160,13849,2,213
"participant_outlier_data",157,13589,3,213
"final",157,13589,4,213
"stimuli_outlier_fixed",160,14720,1,214
"trial_external",160,14278,2,214
"participant_outlier_data",157,14007,3,214
"final",157,14007,4,214
"stimuli_outlier_data",160,14720,1,215
"trial_external",160,14278,2,215
"participant_outlier_data",157,14009,3,215
"final",157,14009,4,215
"participant_external",155,14260,1,216
"trial_outlier_fixed",155,14192,2,216
"participant_outlier_data",152,13919,3,216
"final",152,13919,4,216
"participant_outlier_fixed",160,14720,1,217
"trial_outlier_fixed",160,14652,2,217
"participant_outlier_data",157,14379,3,217
"final",157,14379,4,217
"trial_external",160,14278,1,218
"trial_outlier_fixed",160,14213,2,218
"participant_outlier_data",157,13945,3,218
"final",157,13945,4,218
"trial_outlier_data",160,14333,1,219
"trial_outlier_fixed",160,14265,2,219
"participant_outlier_data",157,14022,3,219
"final",157,14022,4,219
"stimuli_external",160,14278,1,220
"trial_outlier_fixed",160,14212,2,220
"participant_outlier_data",157,13948,3,220
"final",157,13948,4,220
"stimuli_outlier_fixed",160,14720,1,221
"trial_outlier_fixed",160,14652,2,221
"participant_outlier_data",157,14379,3,221
"final",157,14379,4,221
"stimuli_outlier_data",160,14720,1,222
"trial_outlier_fixed",160,14652,2,222
"participant_outlier_data",157,14379,3,222
"final",157,14379,4,222
"participant_external",155,14260,1,223
"trial_outlier_data",155,13868,2,223
"participant_outlier_data",152,13623,3,223
"final",152,13623,4,223
"participant_outlier_fixed",160,14720,1,224
"trial_outlier_data",160,14333,2,224
"participant_outlier_data",157,14087,3,224
"final",157,14087,4,224
"trial_external",160,14278,1,225
"trial_outlier_data",160,13908,2,225
"participant_outlier_data",156,13586,3,225
"final",156,13586,4,225
"trial_outlier_fixed",160,14652,1,226
"trial_outlier_data",160,14265,2,226
"participant_outlier_data",157,14022,3,226
"final",157,14022,4,226
"stimuli_external",160,14278,1,227
"trial_outlier_data",160,13903,2,227
"participant_outlier_data",157,13673,3,227
"final",157,13673,4,227
"stimuli_outlier_fixed",160,14720,1,228
"trial_outlier_data",160,14333,2,228
"participant_outlier_data",157,14087,3,228
"final",157,14087,4,228
"stimuli_outlier_data",160,14720,1,229
"trial_outlier_data",160,14333,2,229
